,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,89,State Bank of India,Fixed,2.19,36,4.49,71683.76172880354,11683.761728803522,27316.23827119646,15903.16876366159,0.0,11683.761728803522
0,493,State Bank of India,Fixed,2.19,36,4.49,71683.76172880354,11683.761728803522,27316.23827119646,15903.16876366159,0.0,11683.761728803522
0,26,Barclays,Fixed,1.75,36,4.99,69740.49914363761,9740.499143637606,29259.500856362385,17243.545730762075,1950.0,11690.499143637606
0,19,Godiva Mortgages Limited,Fixed,1.65,24,4.74,70261.80870578959,10261.8087057896,28738.19129421041,17233.84534793249,1499.0,11760.8087057896
0,233,Platform,Fixed,2.74,60,4.74,71771.44394125805,11771.443941258061,27228.556058741946,14781.925482581984,0.0,11771.443941258061
0,640,Platform,Fixed,2.74,60,4.74,71771.44394125805,11771.443941258061,27228.556058741946,14781.925482581984,0.0,11771.443941258061
0,10,Barclays,Fixed,1.55,24,4.99,69858.22381167744,9858.22381167747,29141.77618832256,17509.285701269444,1950.0,11808.22381167747
0,418,Barclays,Fixed,1.55,24,4.99,69858.22381167744,9858.22381167747,29141.77618832256,17509.285701269444,1950.0,11808.22381167747
0,27,Skipton Building Society,Fixed,1.78,24,4.94,70865.18597551725,10865.185975517195,28134.814024482752,16813.37103725379,995.0,11860.185975517195
0,522,BM Solutions,Fixed,2.26,60,4.84,69583.94963175636,9583.949631756315,29416.05036824364,16264.273024143404,2290.0,11873.949631756315
0,30,Platform,Fixed,1.79,24,4.74,70880.6118107961,10880.611810796094,28119.388189203906,16804.747216470532,999.0,11879.611810796094
0,28,TSB Intermediary ,Fixed,1.79,24,4.84,70895.0795322324,10895.079532232381,28104.920467767603,16793.6581607702,995.0,11890.079532232381
0,435,TSB Intermediary ,Fixed,1.79,24,4.84,70895.0795322324,10895.079532232381,28104.920467767603,16793.6581607702,995.0,11890.079532232381
0,183,Godiva Mortgages Limited,Fixed,2.55,60,4.74,70898.92053104172,10898.920531041713,28101.079468958284,15375.110860633564,999.0,11897.920531041713
0,229,BM Solutions,Fixed,2.71,60,4.84,71633.09427960907,11633.094279609053,27366.905720390932,14876.141935488587,295.0,11928.094279609053
0,185,Skipton Building Society,Fixed,2.56,60,4.94,70944.6248083318,10944.624808331764,28055.375191668194,15344.099430225435,995.0,11939.624808331764
0,433,BM Solutions,Fixed,1.74,24,4.84,70673.5315091303,10673.531509130347,28326.468490869695,16947.603699707433,1290.0,11963.531509130347
0,37,Royal Bank of Scotland,Fixed,1.84,24,3.99,70993.93382346557,10993.93382346556,28006.066176534427,16731.75774468259,995.0,11988.93382346556
0,442,Royal Bank of Scotland,Fixed,1.84,24,3.99,70993.93382346557,10993.93382346556,28006.066176534427,16731.75774468259,995.0,11988.93382346556
0,57,Virgin Money,Fixed,2.03,36,4.99,70995.08000667176,10995.080006671771,28004.919993328236,16379.357429195712,995.0,11990.080006671771
0,463,Virgin Money,Fixed,2.03,36,4.99,70995.08000667176,10995.080006671771,28004.919993328236,16379.357429195712,995.0,11990.080006671771
0,59,Platform,Fixed,2.04,24,4.74,71996.68906855764,11996.689068557622,27003.310931442364,16023.980075478528,0.0,11996.689068557622
0,38,NatWest,Fixed,1.84,24,4.49,71066.4285181432,11066.4285181432,27933.571481856794,16677.644798875514,995.0,12061.4285181432
0,443,NatWest,Fixed,1.84,24,4.49,71066.4285181432,11066.4285181432,27933.571481856794,16677.644798875514,995.0,12061.4285181432
0,169,Principality Building Society,Fixed,2.5,60,4.9,70670.76103986251,10670.761039862531,28329.23896013749,15529.818610227514,1395.0,12065.761039862531
0,68,Royal Bank of Scotland Intermediaries,Fixed,2.08,24,3.99,72066.43892931646,12066.438929316466,26933.561070683543,15979.977240895516,0.0,12066.438929316466
0,445,Platform,Fixed,1.84,24,4.74,71102.6882301758,11102.688230175783,27897.3117698242,16650.08473722311,999.0,12101.688230175783
0,39,TSB Intermediary ,Fixed,1.84,24,4.84,71117.194423065,11117.194423064982,27882.805576935003,16638.968363448213,995.0,12112.194423064982
0,444,TSB Intermediary ,Fixed,1.84,24,4.84,71117.194423065,11117.194423064982,27882.805576935003,16638.968363448213,995.0,12112.194423064982
