,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
15,833.573928588,-1814.31703035,1,0,0,980.743101757,0.0274,0.857377904777,428688.952389,15,0,500000,345,2.0
16,835.477255725,-1814.31703035,1,0,0,978.83977462,0.0274,0.855706950266,427853.475133,16,0,500000,344,2.0
17,837.384928792,-1814.31703035,1,0,0,976.932101553,0.0274,0.854032180408,427016.090204,17,0,500000,343,2.0
18,839.296957713,-1814.31703035,1,0,0,975.020072633,0.0274,0.852353586493,426176.793246,18,0,500000,342,2.0
19,841.213352433,-1814.31703035,1,0,0,973.103677912,0.0274,0.850671159788,425335.579894,19,0,500000,341,2.0
20,843.134122921,-1814.31703035,1,0,0,971.182907424,0.0274,0.848984891542,424492.445771,20,0,500000,340,2.0
21,845.059279168,-1814.31703035,1,0,0,969.257751177,0.0274,0.847294772984,423647.386492,21,0,500000,339,2.0
22,846.988831189,-1814.31703035,1,0,0,967.328199156,0.0274,0.845600795321,422800.397661,22,0,500000,338,2.0
23,848.92278902,-1814.31703035,1,0,0,965.394241325,0.0274,0.843902949743,421951.474872,23,0,500000,337,2.0
24,4966.86116272,-1814.31703035,1,0,0,963.455867623,0.0274,0.833969227418,416984.613709,24,4116,500000,336,2.0
25,862.202162377,-1814.31703035,1,0,0,952.114867969,0.0274,0.832244823093,416122.411546,25,0,500000,335,2.0
26,864.170857314,-1814.31703035,1,0,0,950.146173031,0.0274,0.830516481378,415258.240689,26,0,500000,334,2.0
27,866.144047438,-1814.31703035,1,0,0,948.172982907,0.0274,0.828784193283,414392.096642,27,0,500000,333,2.0
28,868.121743013,-1814.31703035,1,0,0,946.195287332,0.0274,0.827047949797,413523.974899,28,0,500000,332,2.0
29,870.103954327,-1814.31703035,1,0,0,944.213076019,0.0274,0.825307741889,412653.870944,29,0,500000,331,2.0
30,872.090691689,-1814.31703035,1,0,0,942.226338656,0.0274,0.823563560505,411781.780253,30,0,500000,330,2.0
31,874.081965435,-1814.31703035,1,0,0,940.23506491,0.0274,0.821815396575,410907.698287,31,0,500000,329,2.0
32,876.077785923,-1814.31703035,1,0,0,938.239244423,0.0274,0.820063241003,410031.620501,32,0,500000,328,2.0
33,878.078163534,-1814.31703035,1,0,0,936.238866811,0.0274,0.818307084676,409153.542338,33,0,500000,327,2.0
34,880.083108674,-1814.31703035,1,0,0,934.233921671,0.0274,0.816546918458,408273.459229,34,0,500000,326,2.0
35,882.092631772,-1814.31703035,1,0,0,932.224398573,0.0274,0.814782733195,407391.366597,35,0,500000,325,2.0
36,5000.10674328,-1814.31703035,1,0,0,930.210287064,0.0274,0.804782519708,402391.259854,36,4116,500000,324,2.0
37,895.523653678,-1814.31703035,1,0,0,918.793376667,0.0274,0.802991472401,401495.7362,37,0,500000,323,2.0
38,897.568432688,-1814.31703035,1,0,0,916.748597658,0.0274,0.801196335535,400598.167768,38,0,500000,322,2.0
39,899.617880609,-1814.31703035,1,0,0,914.699149736,0.0274,0.799397099774,399698.549887,39,0,500000,321,2.0
40,901.672008103,-1814.31703035,1,0,0,912.645022242,0.0274,0.797593755758,398796.877879,40,0,500000,320,2.0
41,903.730825855,-1814.31703035,1,0,0,910.58620449,0.0274,0.795786294106,397893.147053,41,0,500000,319,2.0
42,905.794344574,-1814.31703035,1,0,0,908.522685771,0.0274,0.793974705417,396987.352709,42,0,500000,318,2.0
43,907.862574994,-1814.31703035,1,0,0,906.454455351,0.0274,0.792158980267,396079.490134,43,0,500000,317,2.0
44,909.935527874,-1814.31703035,1,0,0,904.381502472,0.0274,0.790339109211,395169.554606,44,0,500000,316,2.0
45,912.013213996,-1814.31703035,1,0,0,902.30381635,0.0274,0.788515082783,394257.541392,45,0,500000,315,2.0
46,914.095644168,-1814.31703035,1,0,0,900.221386178,0.0274,0.786686891495,393343.445748,46,0,500000,314,2.0
47,916.182829222,-1814.31703035,1,0,0,898.134201124,0.0274,0.784854525837,392427.262918,47,0,500000,313,2.0
48,5034.27478002,-1814.31703035,1,0,0,896.04225033,0.0274,0.774785976277,387392.988138,48,4116,500000,312,2.0
49,929.769707429,-1814.31703035,1,0,0,884.547322916,0.0274,0.772926436862,386463.218431,49,0,500000,311,2.0
50,931.892681595,-1814.31703035,1,0,0,882.42434875,0.0274,0.771062651499,385531.325749,50,0,500000,310,2.0
51,934.020503218,-1814.31703035,1,0,0,880.296527128,0.0274,0.769194610492,384597.305246,51,0,500000,309,2.0
52,936.153183367,-1814.31703035,1,0,0,878.163846979,0.0274,0.767322304125,383661.152063,52,0,500000,308,2.0
53,938.290733135,-1814.31703035,1,0,0,876.02629721,0.0274,0.765445722659,382722.86133,53,0,500000,307,2.0
54,940.433163643,-1814.31703035,1,0,0,873.883866702,0.0274,0.763564856332,381782.428166,54,0,500000,306,2.0
55,942.580486033,-1814.31703035,1,0,0,871.736544312,0.0274,0.76167969536,380839.84768,55,0,500000,305,2.0
56,944.732711476,-1814.31703035,1,0,0,869.584318869,0.0274,0.759790229937,379895.114968,56,0,500000,304,2.0
57,946.889851167,-1814.31703035,1,0,0,867.427179178,0.0274,0.757896450234,378948.225117,57,0,500000,303,2.0
58,949.051916328,-1814.31703035,1,0,0,865.265114018,0.0274,0.755998346402,377999.173201,58,0,500000,302,2.0
59,951.218918203,-1814.31703035,1,0,0,863.098112142,0.0274,0.754095908565,377047.954283,59,0,500000,301,2.0
60,5069.39086807,-1814.31703035,1,0,0,860.926162279,0.0274,0.743957126829,371978.563415,60,4116,500000,300,2.0
0,0,-395.299887076,1,295.0,295.0,0,0.0258,0.5823529411764706,99000,0,0,170000,360,3.0
1,182.449887076,-395.299887076,1,0,0,212.85,0.0258,0.581279706547,98817.5501129,1,0,170000,359,3.0
2,182.842154333,-395.299887076,1,0,0,212.457732743,0.0258,0.580204164462,98634.7079586,2,0,170000,358,3.0
3,183.235264965,-395.299887076,1,0,0,212.064622111,0.0258,0.579126309963,98451.4726936,3,0,170000,357,3.0
4,183.629220785,-395.299887076,1,0,0,211.670666291,0.0258,0.578046138076,98267.8434728,4,0,170000,356,3.0
5,184.024023609,-395.299887076,1,0,0,211.275863467,0.0258,0.576963643819,98083.8194492,5,0,170000,355,3.0
6,184.41967526,-395.299887076,1,0,0,210.880211816,0.0258,0.5758788222,97899.399774,6,0,170000,354,3.0
7,184.816177562,-395.299887076,1,0,0,210.483709514,0.0258,0.574791668214,97714.5835964,7,0,170000,353,3.0
8,185.213532344,-395.299887076,1,0,0,210.086354732,0.0258,0.573702176847,97529.3700641,8,0,170000,352,3.0
9,185.611741438,-395.299887076,1,0,0,209.688145638,0.0258,0.572610343074,97343.7583226,9,0,170000,351,3.0
10,186.010806682,-395.299887076,1,0,0,209.289080394,0.0258,0.571516161859,97157.7475159,10,0,170000,350,3.0
11,186.410729917,-395.299887076,1,0,0,208.889157159,0.0258,0.570419628153,96971.336786,11,0,170000,349,3.0
12,186.811512986,-395.299887076,1,0,0,208.48837409,0.0258,0.5693207369,96784.525273,12,0,170000,348,3.0
13,187.213157739,-395.299887076,1,0,0,208.086729337,0.0258,0.568219483031,96597.3121153,13,0,170000,347,3.0
14,187.615666028,-395.299887076,1,0,0,207.684221048,0.0258,0.567115861466,96409.6964493,14,0,170000,346,3.0
15,188.01903971,-395.299887076,1,0,0,207.280847366,0.0258,0.566009867115,96221.6774096,15,0,170000,345,3.0
16,188.423280645,-395.299887076,1,0,0,206.876606431,0.0258,0.564901494876,96033.2541289,16,0,170000,344,3.0
17,188.828390699,-395.299887076,1,0,0,206.471496377,0.0258,0.563790739637,95844.4257382,17,0,170000,343,3.0
18,189.234371739,-395.299887076,1,0,0,206.065515337,0.0258,0.562677596273,95655.1913665,18,0,170000,342,3.0
19,189.641225638,-395.299887076,1,0,0,205.658661438,0.0258,0.561562059652,95465.5501408,19,0,170000,341,3.0
20,190.048954273,-395.299887076,1,0,0,205.250932803,0.0258,0.560444124627,95275.5011866,20,0,170000,340,3.0
21,190.457559525,-395.299887076,1,0,0,204.842327551,0.0258,0.559323786041,95085.043627,21,0,170000,339,3.0
22,190.867043278,-395.299887076,1,0,0,204.432843798,0.0258,0.558201038728,94894.1765838,22,0,170000,338,3.0
23,191.277407421,-395.299887076,1,0,0,204.022479655,0.0258,0.557075877508,94702.8991763,23,0,170000,337,3.0
24,191.688653847,-395.299887076,1,0,0,203.611233229,0.0258,0.555948297191,94511.2105225,24,0,170000,336,3.0
25,192.100784453,-395.299887076,1,0,0,203.199102623,0.0258,0.554818292577,94319.1097381,25,0,170000,335,3.0
26,192.513801139,-395.299887076,1,0,0,202.786085937,0.0258,0.553685858452,94126.5959369,26,0,170000,334,3.0
27,192.927705812,-395.299887076,1,0,0,202.372181264,0.0258,0.552550989595,93933.6682311,27,0,170000,333,3.0
28,193.342500379,-395.299887076,1,0,0,201.957386697,0.0258,0.551413680769,93740.3257307,28,0,170000,332,3.0
29,193.758186755,-395.299887076,1,0,0,201.541700321,0.0258,0.550273926729,93546.567544,29,0,170000,331,3.0
30,194.174766856,-395.299887076,1,0,0,201.12512022,0.0258,0.549131722218,93352.3927771,30,0,170000,330,3.0
31,194.592242605,-395.299887076,1,0,0,200.707644471,0.0258,0.547987061968,93157.8005345,31,0,170000,329,3.0
32,195.010615927,-395.299887076,1,0,0,200.289271149,0.0258,0.546839940698,92962.7899186,32,0,170000,328,3.0
